sample,injection,MMHg196,IHg196,MMHg198,IHg198,MMHg199,IHg199,MMHg200,IHg200,MMHg201,IHg201,MMHg202,IHg202,MMHg204,IHg204
48,3,0,0,2300,1586923,42760,2109744,10067,624987,126257,372397,131131,751651,0,0
49,1,0,0,2417,1687273,22170,1815641,6217,762528,84965,442605,123919,915870,0,0
49,2,0,0,1217,1691032,21336,1779002,4833,761673,85679,449575,129392,930008,0,0
49,3,0,0,1620,1830721,24003,1981652,5650,849583,99991,492744,141625,1023123,0,0
50,1,0,0,3272,1708349,21220,1791595,5091,730367,83419,414187,129415,879659,0,0
50,2,0,0,1953,1843963,22337,1950517,6242,763990,93497,462114,144191,942981,0,0
50,3,0,0,1000,1593692,19244,1742819,4083,689637,85791,404546,114815,824322,0,0
51,1,0,0,2817,1869395,26529,2090224,7234,808581,104437,481986,131662,997382,0,0
51,2,0,0,2181,1654815,21153,1845895,5050,725816,90164,436095,113757,880938,0,0
51,3,0,0,1567,1607737,20878,1765647,6000,699840,87478,419093,109110,854435,0,0
52,1,0,0,1767,1554263,36408,2247058,6972,655823,129949,386827,122816,778292,0,0
52,2,0,0,2292,1754905,39943,2495638,6779,723916,144288,438619,138885,896687,0,0
52,3,0,0,949,1553466,34240,2155094,5751,655304,125030,395079,114378,784392,0,0
53,1,0,0,2734,1578599,37012,2072000,6517,615227,118461,355617,142980,737706,0,0
53,2,0,0,1792,1546119,32147,2030754,6922,602193,121285,342673,134640,712848,0,0
53,3,0,0,2645,1535522,35288,2015875,6909,601034,127563,353057,138695,717783,0,0
54,1,0,0,949,1567851,25955,2049887,6461,611485,123735,369621,113100,738856,0,0
54,2,0,0,942,1612440,30789,2097489,5725,639659,126955,375809,125068,773774,0,0
54,3,0,0,1883,1736530,33291,2237820,5167,682242,136929,394217,132316,818833,0,0
55,1,0,0,2643,1599608,55597,2283336,6598,661865,110892,406206,138937,792651,0,0
55,2,0,0,1997,1776595,62987,2579998,10284,721192,129536,444926,154697,864194,0,0
55,3,0,0,1783,1751458,61238,2534501,7509,734374,121726,449941,154251,861812,0,0
56,1,0,0,2008,1633337,52504,2240459,6286,738590,109985,457712,142918,899851,0,0
56,2,0,0,3283,1670203,51975,2306336,7775,772043,110102,461537,149893,931792,0,0
56,3,0,0,3200,1620133,50472,2212394,6534,733967,108836,447740,141011,908438,0,0
57,1,0,0,2390,1550110,48103,2313365,6579,648676,103316,415815,117683,790146,0,0
57,2,0,0,1943,1687989,52693,2463613,8034,730358,107281,443142,127178,866674,0,0
57,3,0,0,1929,1434864,47481,2219412,7051,646575,97927,393918,121390,775572,0,0
58,1,0,0,780,1472768,29523,1794157,6250,649192,108716,383803,118757,789691,0,0
58,2,0,0,3267,1684171,30891,2033713,4388,734264,119157,440957,128127,882408,0,0
58,3,0,0,1863,1645741,34125,2018358,6738,720408,118159,413780,135092,861001,0,0
59,1,0,0,1533,1629394,31273,1929672,5250,721672,101263,417079,117743,879508,0,0
59,2,0,0,689,1431234,28355,1710998,3561,635008,91402,372510,101244,766721,0,0
59,3,0,0,3050,1619296,28055,1969385,4399,726165,96628,431927,102102,874836,0,0
60,1,0,0,1864,1595956,25638,1890201,4933,701353,87832,432399,109360,853388,0,0
60,2,0,0,1334,1595539,28672,1884068,6479,710147,83648,424695,110988,859443,0,0
60,3,0,0,2349,1723031,29989,2040714,5761,760110,97125,460536,116738,945737,0,0
61,1,0,0,4261,1566256,73132,2113075,10071,714287,129584,420691,131185,853591,0,0
61,2,0,0,3056,1607808,67179,2175865,10285,723574,131964,424175,128832,876695,0,0
61,3,0,0,5033,1754564,81583,2390320,10464,808365,146601,471049,145628,976175,0,0
62,1,0,0,2950,1739116,50875,2363299,9500,850388,126113,528235,130918,1041574,0,0
62,2,0,0,3295,1766050,50483,2395562,7569,877784,124896,540556,135340,1083167,0,0
62,3,0,0,3150,1842033,49059,2470072,7040,922391,133382,538859,136649,1112870,0,0
63,1,0,0,2188,1543266,43579,1837351,8179,641320,112313,373341,123758,762365,0,0
63,2,0,0,3025,1527047,45430,1884807,6134,630037,105260,385905,125056,772828,0,0
63,3,0,0,3300,1624129,48106,1957403,8022,681772,114873,413380,131028,819495,0,0
64,1,0,0,2450,1482299,34041,1809231,3848,631036,98087,369174,125305,774042,0,0
64,2,0,0,2383,1486616,36991,1803265,7600,647112,94984,387225,123068,765358,0,0
64,3,0,0,2402,1574374,37117,1935442,5634,645496,103626,411958,125586,818113,0,0
65,1,0,0,2583,1750317,36783,2152922,5055,769332,99575,462075,123125,950369,0,0
65,2,0,0,2317,1579664,31141,1924703,6842,698581,92281,425189,115079,855939,0,0
65,3,0,0,4100,1708491,35092,2073894,6550,746604,104609,453170,121540,896143,0,0
66,1,0,0,2390,1566606,33515,1900413,5214,695029,94485,417438,113690,820306,0,0
66,2,0,0,1317,1588820,34249,1894892,5231,691227,101670,422298,111311,827861,0,0
66,3,0,0,2600,1492033,33140,1847179,6800,640403,91565,393119,110130,808852,0,0
67,1,0,0,3595,1513812,52516,1649417,8734,680360,85396,386582,122099,823838,0,0
67,2,0,0,4217,1761802,60938,1904528,8214,764675,101805,452636,142020,949950,0,0
67,3,0,0,3567,1579711,52817,1670761,10441,685189,90351,401270,123204,845021,0,0
68,1,0,0,2881,1487877,32148,1554062,4784,573656,82253,353634,125343,711022,0,0
68,2,0,0,1969,1505406,33689,1563152,4486,582981,80107,341371,125263,712889,0,0
68,3,0,0,2031,1558394,33507,1602999,7625,620586,84127,377255,124388,761313,0,0
69,1,0,0,2195,1580163,30940,1683173,7361,627649,80243,377813,125628,782531,0,0
69,2,0,0,2914,1624446,32023,1758634,6964,666604,86332,389091,132472,802424,0,0
69,3,0,0,2657,1754077,34108,1882425,6944,723102,96425,425701,136866,866088,0,0
70,1,0,0,1067,1426838,31006,1746444,6783,629436,85009,384092,110720,770338,0,0
70,2,0,0,2283,1524684,33340,1854418,6100,681404,97353,411779,118512,810904,0,0
70,3,0,0,1875,1458243,33940,1777914,5481,632132,85154,390770,114180,793541,0,0
71,1,0,0,1567,1445399,33189,1738407,4392,608446,91867,360738,119953,733213,0,0
71,2,0,0,1450,1448962,34099,1757932,5050,635423,93208,365360,119648,758347,0,0
71,3,0,0,1283,1393931,28922,1668963,5050,590247,92669,345677,111515,713949,0,0
72,1,0,0,2293,1552813,34058,1857697,4439,663393,94268,387617,116836,773486,0,0
72,2,0,0,2000,1664756,36233,2066898,5667,720369,104390,439074,132651,878333,0,0
72,3,0,0,1517,1595308,38909,1996950,4192,677634,99641,424723,125218,843228,0,0
73,1,0,0,467,1262004,1158,894331,2850,450447,43965,251455,99798,537515,0,0
73,2,0,0,847,1289296,1633,906515,2483,433044,53452,245162,110064,563998,0,0
73,3,0,0,1483,1342513,1692,927175,2375,452764,53189,256637,121009,566433,0,0
74,1,0,0,767,1243977,1733,760255,2542,563435,28998,302314,91937,716478,0,0
74,2,0,0,950,1432458,1633,886667,2183,616319,32484,357683,114399,852622,0,0
74,3,0,0,1103,1381921,1200,825550,2250,579346,29457,338040,91648,728861,0,0
75,1,0,0,908,1279479,1767,797042,2850,510998,46515,279101,113030,645835,0,0
75,2,0,0,558,1449957,1683,932834,1850,591816,49034,324017,124396,768315,0,0
75,3,0,0,1100,1419486,1633,895423,2267,530492,53466,304175,120592,729404,0,0
76,1,0,0,1000,1340233,1733,732940,2192,580308,29939,337639,112375,788715,0,0
76,2,0,0,1133,1325265,1733,716177,2792,558649,29282,310405,109297,708447,0,0
76,3,0,0,650,1447891,2342,824527,3192,613150,36493,337237,124348,805094,0,0
77,1,0,0,733,1447329,1967,1121058,3325,568807,74997,315794,119802,733480,0,0
77,2,0,0,808,1694129,1950,1264736,3125,634545,84848,336006,136738,823021,0,0
77,3,0,0,950,1562778,2517,1231181,2800,642793,86091,334756,133487,798518,0,0
78,1,0,0,817,1463249,1067,701413,2192,674625,16419,386439,125890,911521,0,0
78,2,0,0,475,1344635,1200,636521,1600,650188,14335,334802,114546,797326,0,0
78,3,0,0,1033,1470710,1167,703172,2150,687455,16844,360447,123714,909244,0,0
79,1,0,0,1483,1310403,1958,970078,2850,416307,67770,237239,114085,573473,0,0
79,2,0,0,417,1383513,2167,1015858,1933,422543,69296,240437,109814,549187,0,0
79,3,0,0,1150,1337433,850,954219,2817,408321,67922,217838,107492,536708,0,0
80,1,0,0,883,1494809,1700,755726,2343,621169,21579,340649,128993,784927,0,0
80,2,0,0,1333,1420188,1933,724122,2483,556120,21012,343275,118826,764960,0,0
80,3,0,0,1217,1558537,1500,767607,2917,643568,22905,381943,128047,870402,0,0
81,1,0,0,600,1459466,1850,1000264,1783,593559,57473,324709,110677,703026,0,0
81,2,0,0,950,1498921,1425,1005408,2600,607791,62049,307273,109672,711800,0,0
81,3,0,0,783,1655603,2633,1153027,2383,648357,71188,352434,126011,781319,0,0
82,1,0,0,933,1333596,1283,790860,2402,626690,35326,358095,112371,778285,0,0
82,2,0,0,925,1386884,1450,751145,2533,631112,36458,349408,115962,750025,0,0
82,3,0,0,733,1315200,1767,730237,2848,621954,34824,336383,111500,729245,0,0
83,1,0,0,1017,1336439,1492,590587,2883,524203,25822,302014,109615,616337,0,0
83,2,0,0,933,1465705,2000,672042,2617,578764,27355,322245,115251,709261,0,0
83,3,0,0,1217,1493023,2217,671656,2717,577853,27172,316347,123186,714136,0,0
84,1,0,0,598,1364326,1067,640364,3100,651625,16219,367041,112177,818159,0,0
84,2,0,0,567,1532094,1092,689033,2417,728018,19044,414533,127256,891052,0,0
84,3,0,0,950,1366260,1600,657240,2450,652179,16719,362560,113666,795135,0,0
85,1,0,0,983,1379808,2442,1461574,4000,603481,101121,328499,113654,694941,0,0
85,2,0,0,867,1491339,2333,1548327,3142,627631,100065,354420,123052,744204,0,0
85,3,0,0,1367,1445080,2417,1563117,3992,677910,105474,343998,120309,771599,0,0
86,1,0,0,883,1368653,1225,950605,2217,697097,43478,401063,114486,904808,0,0
86,2,0,0,1237,1331297,1933,885395,2317,641176,40972,367862,111257,816324,0,0
86,3,0,0,1500,1431783,1817,978851,1500,698683,41122,387282,112341,846745,0,0
87,1,0,0,397,1322996,1475,923341,3450,552466,57538,291338,106845,655498,0,0
87,2,0,0,1283,1314748,1150,954414,2275,541085,55503,302965,114487,668009,0,0
87,3,0,0,1508,1445198,1567,1097268,3783,581151,60559,316930,117562,724037,0,0
88,1,0,0,675,1384455,1458,911837,2542,753197,34176,408712,115269,918424,0,0
88,2,0,0,717,1437864,1950,898650,2317,754159,37359,418093,117768,932405,0,0
88,3,0,0,767,1599647,2083,1013734,3192,843018,39922,469968,137357,1063538,0,0
89,1,0,0,1450,1323226,1733,1259702,3033,559410,90805,329518,112319,678741,0,0
89,2,0,0,1622,1460361,1583,1430536,3558,653603,97145,328666,132029,770483,0,0
89,3,0,0,1142,1365963,1633,1321017,3025,612201,89133,326124,111738,738031,0,0
90,1,0,0,1350,1345396,1467,792171,1752,614133,38243,334623,115115,744020,0,0
90,2,0,0,1550,1400279,1550,805925,2700,612545,43079,346531,118386,760842,0,0
90,3,0,0,925,1491614,1900,876443,3408,646271,43887,377516,123969,819156,0,0
91,1,0,0,664,1732265,1933,1272226,3792,720995,59947,406839,135946,882676,0,0
91,2,0,0,2142,1588892,1517,1180498,2687,651793,57686,369019,129890,838328,0,0
91,3,0,0,1767,1721938,2183,1273651,2983,718122,60322,390464,133719,893244,0,0
92,1,0,0,1015,1517073,1117,855300,2783,629449,33641,369631,114529,801766,0,0
92,2,0,0,697,1451334,1267,855319,2400,647643,35266,371098,113227,806607,0,0
92,3,0,0,378,1527866,1392,874032,3033,651691,38335,376075,124252,825609,0,0
93,1,0,0,2067,1737309,2025,1259380,3567,750308,60488,418748,128161,956498,0,0
93,2,0,0,320,1589700,1983,1131227,3150,691346,56429,387444,125606,863544,0,0
93,3,0,0,1661,1695386,1850,1218560,3783,732904,58590,415544,129387,944037,0,0
94,1,0,0,517,1543032,1515,1121028,1867,712043,49614,406672,109611,910382,0,0
94,2,0,0,300,1759840,2675,1245348,2900,818745,57903,455765,134594,1041148,0,0
94,3,0,0,653,1708133,2250,1221704,3568,794406,52734,448078,126379,994497,0,0
95,1,0,0,1433,1524689,2050,1501429,3867,630593,86311,360888,117831,780373,0,0
95,2,0,0,850,1687268,1833,1665377,2983,722889,96416,400316,130368,863039,0,0
95,3,0,0,597,1585177,1858,1553980,3518,653663,91535,370990,122749,815361,0,0
96,1,0,0,677,1532270,1367,843203,2133,695871,26397,385303,111016,886159,0,0
96,2,0,0,508,1513424,1567,855928,3150,658722,26680,382488,106797,861129,0,0
96,3,0,0,1009,1661700,1600,900783,1633,732406,32899,421619,127573,935956,0,0
